theta1,theta2,theta3,theta4,x,y,z,qx,qy,qz,qw,roll,pitch,yaw
-1.047,0.484,0.662,-1.453,0.138,-0.218,0.104,-0.077,-0.133,-0.494,0.856,3.141,2.833,2.095
-1.047,0.482,0.654,-1.446,0.138,-0.219,0.105,-0.077,-0.134,-0.494,0.856,3.141,2.831,2.095
-1.047,0.479,0.646,-1.439,0.139,-0.22,0.106,-0.078,-0.135,-0.494,0.855,3.142,2.828,2.094
-1.047,0.477,0.639,-1.431,0.139,-0.22,0.107,-0.079,-0.136,-0.494,0.855,3.141,2.826,2.094
-1.047,0.474,0.63,-1.424,0.14,-0.221,0.108,-0.079,-0.138,-0.494,0.855,3.14,2.822,2.094
-1.047,0.472,0.622,-1.416,0.14,-0.222,0.109,-0.08,-0.139,-0.493,0.855,3.141,2.819,2.095
-1.047,0.466,0.605,-1.399,0.141,-0.223,0.112,-0.082,-0.142,-0.493,0.854,3.142,2.812,2.095
-1.047,0.463,0.595,-1.39,0.141,-0.224,0.113,-0.083,-0.143,-0.493,0.854,3.141,2.809,2.095
-1.047,0.46,0.586,-1.382,0.142,-0.225,0.115,-0.083,-0.145,-0.493,0.854,3.14,2.806,2.094
-1.047,0.457,0.577,-1.373,0.142,-0.225,0.116,-0.084,-0.146,-0.493,0.854,3.141,2.803,2.094
-1.047,0.454,0.567,-1.363,0.143,-0.226,0.118,-0.085,-0.148,-0.493,0.853,3.141,2.799,2.093
-1.047,0.451,0.557,-1.354,0.143,-0.227,0.119,-0.086,-0.149,-0.492,0.853,3.141,2.796,2.095
-1.047,0.445,0.536,-1.334,0.144,-0.229,0.122,-0.088,-0.152,-0.492,0.853,3.141,2.789,2.095
-1.047,0.441,0.525,-1.324,0.144,-0.229,0.124,-0.089,-0.154,-0.492,0.852,3.141,2.784,2.094
-1.047,0.438,0.515,-1.314,0.145,-0.23,0.126,-0.09,-0.156,-0.492,0.852,3.141,2.779,2.094
-1.047,0.434,0.504,-1.303,0.145,-0.231,0.128,-0.091,-0.157,-0.492,0.852,3.141,2.777,2.094
