theta1,theta1_pred,theta2,theta2_pred,theta3,theta3_pred,theta4,theta4_pred
1.047,1.0430764,0.066,0.063800514,-0.674,-0.6718514,-0.189,-0.19476715
1.047,1.046056,0.466,0.4663911,0.6,0.59971505,-1.395,-1.395692
1.047,1.0442902,0.315,0.3179937,0.12,0.12172361,-0.941,-0.9431411
1.047,1.0456455,0.0,-0.00040107593,-0.872,-0.87408715,-0.001,-0.0017492007
1.047,1.0443647,0.025,0.0242101,-0.795,-0.7951122,-0.074,-0.0754174
1.047,1.0453279,0.023,0.021105874,-0.801,-0.80473715,-0.068,-0.06664359
1.047,1.0478783,0.18,0.18042056,-0.313,-0.3119032,-0.531,-0.53264105
1.047,1.0464811,0.203,0.20299146,-0.239,-0.23994029,-0.601,-0.60140795
1.047,1.0424285,0.051,0.052427936,-0.71,-0.7073949,-0.154,-0.1596204
1.047,1.0457015,0.392,0.39372155,0.361,0.3646267,-1.168,-1.1731101
1.047,1.0393348,0.103,0.102302596,-0.552,-0.55014545,-0.304,-0.30799106
1.047,1.0473492,0.162,0.1623058,-0.365,-0.36989966,-0.481,-0.4783973
1.047,1.0463573,0.157,0.1575508,-0.384,-0.3842952,-0.463,-0.4646143
1.047,1.0455155,0.451,0.4528496,0.551,0.5539593,-1.349,-1.3529809
1.047,1.0460756,0.004,0.0037631579,-0.859,-0.8604803,-0.013,-0.013966729
1.047,1.0445421,0.02,0.017370004,-0.811,-0.8166329,-0.059,-0.055575594
1.047,1.0450473,0.445,0.44708553,0.53,0.53504425,-1.329,-1.3350117
1.047,1.0463412,0.14,0.13975924,-0.439,-0.44060233,-0.411,-0.41176102
1.047,1.0445609,0.412,0.41346192,0.425,0.42980766,-1.23,-1.2344378
1.047,1.0392823,0.066,0.0674126,-0.665,-0.6599519,-0.197,-0.20495293
1.047,1.0461931,0.479,0.48352844,0.646,0.6542328,-1.439,-1.4463485
1.047,1.0455487,0.448,0.449788,0.541,0.5432449,-1.339,-1.3433329
1.047,1.0478566,0.175,0.17647335,-0.337,-0.32482728,-0.508,-0.5206617
1.047,1.0452849,0.334,0.34556678,0.186,0.21141434,-1.002,-1.028702
1.047,1.0456455,0.0,-0.00040107593,-0.873,-0.87408715,0.0,-0.0017492007
1.175,1.1772554,0.066,0.06450197,-0.665,-0.66897756,-0.197,-0.19699901
